site,terrain,plot_type,Y,X,n_spruce,plot_area_m2
FoxLake,Lowland,Quick,6798856.452,466990.6709,0,40
FoxLake,Lowland,Quick,6798856.55,467000.6705,0,40
FoxLake,Lowland,Regen,6798856.619,467059.7057,0,50.0144692
FoxLake,Lowland,Quick,6798856.648,467010.67,0,40
FoxLake,Lowland,Quick,6798856.746,467020.6695,1,40
FoxLake,Lowland,Quick,6798856.844,467030.669,0,40
FoxLake,Lowland,Quick,6798856.942,467040.6685,0,40
FoxLake,Lowland,Quick,6798857.04,467050.6681,1,40
FoxLake,Lowland,Regen,6798860.501,467220.1098,1,50.26548246
FoxLake,Lowland,Quick,6798861.363,466973.3473,0,40
FoxLake,Lowland,Quick,6798865.034,466764.0903,0,40
FoxLake,Lowland,Quick,6798865.961,467228.1328,1,40
